Fecha_Ocurrencia,Codigo_Accidente,Direccion,Barrio,Vehiculos Involucrados,Heridos,Tipo_accidente,Muertes SI/NO,# Muertes,Clase de Accidente
05/23/2022 12:00:00 AM,A001456797,CARRERA 33 INTERSECCIÓN 16C,No registra,2,2,HERIDOS,0,0,CHOQUE
05/25/2022 12:00:00 AM,A001456798,CALLE 17 CARRERA 19   MANCERA,MANCERA,2,1,HERIDOS,0,0,CHOQUE
05/26/2022 12:00:00 AM,A001456799,CARRERA 23 CALLE 5 - 129 PABLO EMILIO RIVEROS,PABLO EMILIO RIVEROS,2,1,HERIDOS,0,0,CHOQUE
05/28/2022 12:00:00 AM,A001456782,CALLE 18 CARRERA 19,No registra,2,1,HERIDOS,0,0,CHOQUE
05/31/2022 12:00:00 AM,A001456803,CARRERA 23 CALLE 11   SAN JOSÉ,SAN JOSÉ,2,1,HERIDOS,0,0,CHOQUE
05/30/2022 12:00:00 AM,A001456801,DIAGONAL 15 # 27A - 45 SAN JOSÉ,SAN JOSÉ,2,2,HERIDOS,0,0,CHOQUE
05/29/2022 12:00:00 AM,A001456800,AVENIDA 23 INTERSECCIÓN 25   LA TIZA,LA TIZA,2,0,HERIDOS,0,0,CHOQUE
05/13/2022 12:00:00 AM,C-001441416,KILOMETRO 55+200     VÍA GRANADA-VILLAVICENCIO,VÍA GRANADA-VILLAVICENCIO,3,1,HERIDOS,0,0,CHOQUE
44567,A001456802,CALLE 13 # 23 2  SIN INFORMACIÓN DEL BARRIO,SIN INFORMACIÓN DEL BARRIO,2,0,DA�OS MATERIALES,0,0,CHOQUE
44657,A001456804,CARRERA 23 DIAGONAL  15   SAN JOSÉ,SAN JOSÉ,2,1,HERIDOS,0,0,CHOQUE
44718,A001456805,KILOMETRO 19+200 MTS VIA ACACIAS SANTA ROSA     SANTA ROSA,No registra,2,3,HERIDOS,0,0,CHOQUE
44779,A001456806,CARRERA 23 CALLE  18   SIN INFORMACIÓN DEL BARRIO,SIN INFORMACIÓN DEL BARRIO,2,1,HERIDOS,0,0,CHOQUE
06/22/2022 12:00:00 AM,A001456808,CARRERA 47 CALLE  17   COLINAS,COLINAS,2,0,DA�OS MATERIALES,0,0,CHOQUE
06/19/2022 12:00:00 AM,A001456807,CARRERA 29 CALLE  12   SIN INFORMACIÓN DEL BARRIO,SIN INFORMACIÓN DEL BARRIO,2,2,HERIDOS,0,0,CHOQUE
06/22/2022 12:00:00 AM,A001456809,CALLE 12 CARRERA 33 SAMAN  SAMAN,SAMAN,1,1,HERIDOS,0,0,ATROPELLO
06/22/2022 12:00:00 AM,A001456810,CARRERA 30 # 17 5 ASOCIACION DE AMIGOS ASOCIACIÓN DE AMIGOS,ASOCIACIÓN DE AMIGOS,1,1,HERIDOS,0,0,ATROPELLO
06/24/2022 12:00:00 AM,A001456811,CALLE 14 CARRERA  24   SAN JOSÉ,SAN JOSÉ,2,0,DA�OS MATERIALES,0,0,CHOQUE
06/26/2022 12:00:00 AM,A001456812,CARRERA 23 CALLE  5 102  SIN INFORMACIÓN DEL BARRIO,SIN INFORMACIÓN DEL BARRIO,2,1,HERIDOS,0,0,CHOQUE
